epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.58408,1.14974,4.23621,0.98907,0.00333,1,0.00524,0.00357,0.69052,3.66426,0.67445,2e-05,2e-05,2e-05
2,10.2734,1.09145,4.16142,0.95538,0.00333,1,0.00518,0.00366,0.68604,3.66677,0.67337,5.9406e-05,5.9406e-05,5.9406e-05
3,12.8898,1.11415,4.30481,0.9954,0.00333,1,0.00538,0.0038,0.66745,3.66903,0.6686,9.802e-05,9.802e-05,9.802e-05
4,15.5255,1.15729,4.25919,1.0029,0.00333,1,0.00557,0.0039,0.65567,3.66144,0.6652,0.000135842,0.000135842,0.000135842
5,18.1623,1.01552,3.88617,0.90556,0.00333,1,0.49607,0.29564,0.82545,3.65966,0.71081,0.000172872,0.000172872,0.000172872
6,20.9156,0.90189,2.49156,0.85317,0.00333,1,0.59945,0.38216,0.70156,3.52745,0.71112,0.00020911,0.00020911,0.00020911
7,23.6453,0.82338,1.88568,0.87722,0.00333,1,0.69406,0.5199,0.62086,3.41026,0.71307,0.000244556,0.000244556,0.000244556
8,26.3453,0.72957,1.54684,0.85014,0.00333,1,0.64798,0.47946,0.66923,3.401,0.7168,0.00027921,0.00027921,0.00027921
9,29.102,0.7072,1.41393,0.86558,0.00333,1,0.03348,0.02204,0.5738,3.38359,0.68491,0.000313072,0.000313072,0.000313072
10,31.9719,0.70587,1.41186,0.84778,0.00333,1,0.00826,0.00515,0.56398,3.38219,0.65613,0.000346142,0.000346142,0.000346142
11,34.8955,0.72672,1.41257,0.86734,0.00333,1,0.00775,0.00586,0.65316,3.37362,0.65194,0.00037842,0.00037842,0.00037842
12,37.7904,0.65762,1.23488,0.86354,0.00333,1,0.25203,0.06998,0.44704,3.32772,0.62088,0.000409906,0.000409906,0.000409906
13,40.657,0.6143,1.08604,0.83127,0.00333,1,0.40102,0.07913,0.49007,3.3535,0.63361,0.0004406,0.0004406,0.0004406
14,43.5901,0.6414,1.11826,0.85912,0.00333,1,0.01107,0.00766,0.44997,3.30928,0.62411,0.000470502,0.000470502,0.000470502
15,46.3503,0.64234,1.04873,0.84588,0.00333,1,0.14799,0.13263,0.51922,3.27848,0.63425,0.000499612,0.000499612,0.000499612
16,49.1167,0.62333,1.05144,0.84749,0.00333,1,0.00796,0.0072,0.47508,3.32659,0.62256,0.00052793,0.00052793,0.00052793
17,51.8156,0.63483,1.0554,0.87083,0.00333,1,0.08812,0.08383,0.43788,3.28499,0.6214,0.000555456,0.000555456,0.000555456
18,54.6906,0.60516,1.00664,0.84862,0.00333,1,0.00621,0.00568,0.44435,3.32721,0.62515,0.00058219,0.00058219,0.00058219
19,57.4357,0.61224,0.99216,0.85494,0.00333,1,0.01658,0.0153,0.44034,3.23652,0.62262,0.000608132,0.000608132,0.000608132
20,60.1308,0.56371,0.95175,0.8368,0.00333,1,0.88058,0.80863,0.44927,3.12677,0.62882,0.000633282,0.000633282,0.000633282
21,62.8377,0.59182,0.9829,0.83008,0.00333,1,0.94948,0.8879,0.44,3.03813,0.61733,0.00065764,0.00065764,0.00065764
22,65.712,0.62292,0.97656,0.83429,0.00333,1,0.995,0.8818,0.49036,2.91369,0.62991,0.000681206,0.000681206,0.000681206
23,68.4065,0.64068,0.93711,0.85262,0.00333,1,0.995,0.88423,0.46282,2.9428,0.61822,0.00070398,0.00070398,0.00070398
24,71.0811,0.61651,1.00621,0.8413,0.00333,1,0.995,0.90162,0.40875,2.75758,0.61243,0.000725962,0.000725962,0.000725962
25,73.8525,0.61975,0.8039,0.83904,0.00333,1,0.995,0.91379,0.48701,2.74657,0.62473,0.000747152,0.000747152,0.000747152
26,76.5168,0.60806,0.85365,0.85158,0.00333,1,0.995,0.89935,0.42088,2.84861,0.61612,0.00076755,0.00076755,0.00076755
27,79.2931,0.58748,0.88546,0.82674,0.00333,1,0.995,0.91605,0.43503,2.66988,0.61531,0.000787156,0.000787156,0.000787156
28,82.0172,0.60977,0.8095,0.8358,0.9697,1,0.995,0.9031,0.41399,2.39572,0.61187,0.00080597,0.00080597,0.00080597
29,84.7449,0.60175,0.82715,0.84903,0.98792,1,0.995,0.92137,0.41899,2.22003,0.60623,0.000823992,0.000823992,0.000823992
30,87.8978,0.5924,0.81194,0.85036,0.99014,1,0.995,0.92329,0.39614,2.17192,0.60874,0.000841222,0.000841222,0.000841222
31,90.8511,0.60808,0.83576,0.84705,0.98825,1,0.995,0.8906,0.45262,2.03161,0.62017,0.00085766,0.00085766,0.00085766
32,93.6273,0.62961,0.84452,0.84754,0.99403,1,0.995,0.89829,0.41271,2.07908,0.60882,0.000873306,0.000873306,0.000873306
33,96.4222,0.57594,0.8888,0.84676,0.98503,1,0.995,0.89536,0.42241,1.64569,0.61967,0.00088816,0.00088816,0.00088816
34,99.1848,0.55579,0.75579,0.83845,0.98281,1,0.995,0.90495,0.48406,1.53811,0.63627,0.000902222,0.000902222,0.000902222
35,102.039,0.57689,0.78906,0.84825,0.98403,1,0.995,0.89098,0.43615,1.50149,0.64004,0.000915492,0.000915492,0.000915492
36,104.956,0.56499,0.75128,0.85295,0.98623,1,0.995,0.90156,0.4717,1.31747,0.65274,0.00092797,0.00092797,0.00092797
37,107.619,0.54515,0.75447,0.82578,0.99229,1,0.995,0.89358,0.48422,1.37449,0.62458,0.000939656,0.000939656,0.000939656
38,110.266,0.56644,0.81649,0.85087,0.99052,1,0.995,0.905,0.50519,1.48051,0.63378,0.00095055,0.00095055,0.00095055
39,113.089,0.59394,0.73271,0.84579,0.98962,1,0.995,0.86366,0.5685,1.26816,0.66803,0.000960652,0.000960652,0.000960652
40,115.799,0.62556,0.73222,0.83902,0.9923,1,0.995,0.89366,0.50306,1.21751,0.64419,0.000969962,0.000969962,0.000969962
41,118.429,0.54628,0.68802,0.82291,0.9927,1,0.995,0.91809,0.41223,0.93403,0.62729,0.00097848,0.00097848,0.00097848
42,121.191,0.5877,0.73385,0.84387,0.99409,1,0.995,0.91604,0.39751,0.80799,0.62734,0.000986206,0.000986206,0.000986206
43,123.942,0.60023,0.66352,0.85332,0.99357,1,0.995,0.88791,0.52758,0.79068,0.65907,0.00099314,0.00099314,0.00099314
44,126.568,0.56115,0.68027,0.8434,0.99341,1,0.995,0.87821,0.53139,0.74689,0.66054,0.000999282,0.000999282,0.000999282
45,129.314,0.58018,0.66383,0.85614,0.99239,1,0.995,0.91458,0.4521,0.81384,0.64306,0.00100463,0.00100463,0.00100463
46,131.97,0.56494,0.68804,0.83627,0.9937,1,0.995,0.9113,0.46377,0.74489,0.63242,0.00100919,0.00100919,0.00100919
47,134.627,0.5627,0.64782,0.84704,0.99514,1,0.995,0.90434,0.47556,0.73611,0.64317,0.00101296,0.00101296,0.00101296
48,137.317,0.59981,0.66596,0.84638,0.99406,1,0.995,0.89405,0.47008,0.83028,0.6551,0.00101593,0.00101593,0.00101593
49,140.01,0.59116,0.64712,0.84019,0.99542,1,0.995,0.9063,0.48408,0.66009,0.65267,0.00101811,0.00101811,0.00101811
50,142.734,0.59325,0.65411,0.86463,0.9961,1,0.995,0.92124,0.43521,0.63554,0.62531,0.0010195,0.0010195,0.0010195
51,145.405,0.53402,0.6486,0.81914,0.99682,1,0.995,0.91809,0.43279,0.56148,0.64105,0.00101,0.00101,0.00101
52,148.041,0.5403,0.60371,0.83859,0.99705,1,0.995,0.91303,0.43631,0.49881,0.63603,0.0009902,0.0009902,0.0009902
53,150.838,0.57158,0.58739,0.83392,0.99701,1,0.995,0.9251,0.4221,0.48377,0.61839,0.0009704,0.0009704,0.0009704
54,153.542,0.57473,0.60343,0.8376,0.99704,1,0.995,0.91355,0.42178,0.47116,0.62287,0.0009506,0.0009506,0.0009506
55,156.268,0.57196,0.56556,0.83815,0.9968,1,0.995,0.93149,0.41869,0.47075,0.62046,0.0009308,0.0009308,0.0009308
56,159.077,0.53035,0.57367,0.84253,0.99706,1,0.995,0.90342,0.47023,0.46146,0.63051,0.000911,0.000911,0.000911
57,161.924,0.56157,0.54057,0.84419,0.99708,1,0.995,0.89478,0.49261,0.45592,0.63351,0.0008912,0.0008912,0.0008912
58,164.696,0.55937,0.58384,0.85485,0.99712,1,0.995,0.91938,0.4514,0.46711,0.62407,0.0008714,0.0008714,0.0008714
59,167.489,0.52241,0.56721,0.82462,0.99709,1,0.995,0.90235,0.45917,0.4359,0.62961,0.0008516,0.0008516,0.0008516
60,170.267,0.51452,0.52723,0.81661,0.99692,1,0.995,0.90737,0.42976,0.43556,0.61845,0.0008318,0.0008318,0.0008318
61,172.987,0.52875,0.50985,0.8153,0.99713,1,0.995,0.93116,0.39094,0.39643,0.62387,0.000812,0.000812,0.000812
62,175.782,0.50994,0.50026,0.83498,0.99714,1,0.995,0.9249,0.38656,0.39548,0.62895,0.0007922,0.0007922,0.0007922
63,178.664,0.54506,0.52802,0.85045,0.99707,1,0.995,0.94598,0.37815,0.39197,0.64089,0.0007724,0.0007724,0.0007724
64,181.428,0.52566,0.50053,0.83436,0.9968,1,0.995,0.93412,0.39178,0.42139,0.64412,0.0007526,0.0007526,0.0007526
65,184.152,0.52119,0.51983,0.83726,0.99708,1,0.995,0.91915,0.38924,0.39899,0.64527,0.0007328,0.0007328,0.0007328
66,186.786,0.51978,0.48968,0.83148,0.99727,1,0.995,0.91291,0.41238,0.40158,0.64878,0.000713,0.000713,0.000713
67,189.468,0.48994,0.49205,0.83089,0.99734,1,0.995,0.92513,0.42158,0.39835,0.64798,0.0006932,0.0006932,0.0006932
68,192.22,0.52859,0.49652,0.82523,0.9974,1,0.995,0.92178,0.41228,0.36359,0.64759,0.0006734,0.0006734,0.0006734
69,194.887,0.52534,0.47327,0.83095,0.99739,1,0.995,0.92277,0.40328,0.35813,0.65041,0.0006536,0.0006536,0.0006536
70,197.561,0.4971,0.47149,0.84837,0.99738,1,0.995,0.93421,0.40823,0.36678,0.64246,0.0006338,0.0006338,0.0006338
