epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.29616,0.9021,2.34022,3.33746,1.17118,0.00935,0.91623,0.11714,0.05195,0.00935,0.91623,0.12265,0.05029,0.81719,2.19184,3.21749,1.27643,3.334e-05,3.334e-05,3.334e-05
2,6.62371,0.8788,2.34796,3.31929,1.17022,0.0095,0.92675,0.10558,0.04598,0.0095,0.92675,0.11389,0.04709,0.8079,2.16167,3.20838,1.26608,8.30749e-05,8.30749e-05,8.30749e-05
3,9.00262,0.82402,2.03743,3.28531,1.13705,0.00977,0.95307,0.33669,0.18969,0.00977,0.95307,0.3245,0.20102,0.3497,0.68628,3.09589,0.86282,0.00013248,0.00013248,0.00013248
4,11.26,0.59419,0.90691,2.55942,0.90492,0.0099,1,0.45843,0.38947,0.0099,1,0.46003,0.42338,0.46358,0.47088,2.60724,0.81124,0.000181555,0.000181555,0.000181555
5,13.5548,0.47408,0.59881,1.61144,0.85907,0.98826,0.43784,0.47165,0.39969,0.98826,0.43784,0.47476,0.43662,0.51666,0.6994,1.91401,0.82439,0.000230299,0.000230299,0.000230299
6,15.8672,0.44463,0.48128,1.11429,0.82545,0.97712,0.43905,0.48795,0.43062,0.97712,0.43905,0.48546,0.4602,0.47823,0.57778,1.69553,0.81279,0.000278714,0.000278714,0.000278714
7,18.1766,0.39812,0.3708,0.92577,0.82566,0.96679,0.42632,0.48063,0.4184,0.96795,0.42632,0.4787,0.44849,0.47206,0.56551,1.5715,0.86381,0.000326799,0.000326799,0.000326799
8,20.5582,0.40372,0.4206,0.86625,0.83683,0.9924,0.34111,0.45271,0.39208,0.9924,0.34111,0.46716,0.42638,0.5319,0.60747,1.98053,0.92461,0.000374553,0.000374553,0.000374553
9,22.9265,0.36743,0.34522,0.83373,0.82718,0.9678,0.34617,0.47734,0.41361,0.95287,0.34721,0.49209,0.4239,0.54298,0.69499,2.17835,0.9363,0.000421978,0.000421978,0.000421978
10,25.2275,0.35504,0.28503,0.73964,0.81755,1,0.27866,0.56609,0.44514,1,0.27866,0.56517,0.45163,0.5974,0.8349,2.24337,0.97459,0.000469072,0.000469072,0.000469072
11,27.5574,0.42248,0.35619,0.68808,0.81606,1,0.30084,0.53948,0.45004,1,0.30084,0.51562,0.45365,0.56917,1.13789,2.308,0.95484,0.000515836,0.000515836,0.000515836
12,29.8906,0.37975,0.30113,0.68805,0.82395,1,0.19859,0.55266,0.48876,1,0.19859,0.54656,0.49101,0.50891,0.84199,2.27978,0.89395,0.000562271,0.000562271,0.000562271
13,32.2628,0.43371,0.34,0.72715,0.83073,0.62182,0.15081,0.56004,0.51237,0.62182,0.15081,0.56366,0.50914,0.47922,0.79122,2.39591,0.86621,0.000608375,0.000608375,0.000608375
14,34.6301,0.38136,0.25943,0.63996,0.82019,1,0.47368,0.64512,0.56193,0.99216,0.46841,0.64365,0.56363,0.5976,0.94859,1.91239,0.88346,0.000654149,0.000654149,0.000654149
15,36.9895,0.40005,0.28263,0.64502,0.82109,0.98618,0.60337,0.76269,0.67046,0.98618,0.60337,0.76283,0.64742,0.51484,0.75994,1.69579,0.85827,0.000699593,0.000699593,0.000699593
16,39.3117,0.38165,0.29616,0.64359,0.82339,0.90208,0.60856,0.82441,0.72907,0.90208,0.60856,0.82078,0.71202,0.47832,0.70445,1.63077,0.84176,0.000744707,0.000744707,0.000744707
17,41.7198,0.40081,0.25809,0.67582,0.83256,0.98263,0.56401,0.86191,0.76108,0.98263,0.56401,0.85771,0.73515,0.42918,0.6477,1.79615,0.83224,0.000789491,0.000789491,0.000789491
18,44.0439,0.37936,0.31083,0.65337,0.81883,0.98663,0.62705,0.87879,0.76132,0.98662,0.62549,0.82214,0.74745,0.44233,0.60336,1.80103,0.8552,0.000833945,0.000833945,0.000833945
19,46.4721,0.37927,0.29352,0.64388,0.82611,0.90184,0.68169,0.91361,0.73276,0.906,0.6809,0.87794,0.77989,0.4389,0.60045,1.90192,0.84909,0.000878069,0.000878069,0.000878069
20,48.8372,0.37394,0.27903,0.60741,0.83048,0.9475,0.67467,0.92334,0.73197,0.94739,0.67344,0.89018,0.81698,0.41372,0.62545,1.91637,0.84355,0.000921863,0.000921863,0.000921863
21,51.1423,0.36495,0.2829,0.59573,0.82394,1,0.64503,0.8807,0.75968,1,0.64503,0.8848,0.77041,0.38625,0.58975,1.70588,0.83017,0.000965326,0.000965326,0.000965326
22,53.5052,0.32922,0.25546,0.56434,0.81886,0.99357,0.65943,0.87558,0.7647,0.99357,0.65943,0.87581,0.77522,0.39646,0.48753,1.59308,0.83456,0.00100846,0.00100846,0.00100846
23,55.898,0.37977,0.32836,0.58824,0.82352,0.76867,0.48605,0.63825,0.58534,0.76867,0.48605,0.63825,0.59569,0.4006,0.47246,1.8028,0.83053,0.00105126,0.00105126,0.00105126
24,58.2168,0.37772,0.2719,0.57672,0.82704,0.61647,0.46623,0.64323,0.58708,0.61647,0.46623,0.64363,0.59145,0.39263,0.4742,1.97713,0.82765,0.00109374,0.00109374,0.00109374
